Parameter,Bits
A0_GNC_ADCS_Position_x,32
A0_GNC_ADCS_Position_y,32
A0_GNC_ADCS_Position_z,32
A0_GNC_ADCS_Velocity_vx,32
A0_GNC_ADCS_Velocity_vy,32
A0_GNC_ADCS_Velocity_vz,32
A0_GNC_ADCS_Attitude_q1,32
A0_GNC_ADCS_Attitude_q2,32
A0_GNC_ADCS_Attitude_q3,32
A0_GNC_ADCS_Attitude_qc,32
A0_EPS_SolarArray_Temperature_1A,32
A0_EPS_SolarArray_Temperature_1B,32
A0_EPS_SolarArray_Temperature_2A,32
A0_EPS_SolarArray_Temperature_2B,32
A0_EPS_SolarArray_Temperature_3A,32
A0_EPS_SolarArray_Temperature_3B,32
A0_EPS_Battery_Voltage_v1,32
A0_EPS_Battery_Current_c1,32
SFTeleport_Link_LinkBudget_UplinkMargin,32
SFTeleport_Link_LinkBudget_DownlinkMargin,32
